[Sat May  2 20:45:03 2026] ACTION: ADD_ADMIN | DETAILS: Created admin: afu 
[Sat May  2 20:45:16 2026] ACTION: ADD_USER | DETAILS: Created user: afu
[Sat May  2 23:11:37 2026] ACTION: ADD_ADMIN | DETAILS: Created admin: afwan
[Sat May  2 23:51:00 2026] ACTION: ADD_USER | DETAILS: Created user: muaz
[Sun May  3 01:13:07 2026] ACTION: ADD_USER | DETAILS: Created user: zuhair
[Sun May  3 03:15:02 2026] ACTION: SESSION_login | DETAILS: admin (Admin) login
[Sun May  3 03:15:02 2026] ACTION: LOGIN | DETAILS: Admin login: admin
[Sun May  3 03:15:21 2026] ACTION: CLOSE_CASE | DETAILS: Closed Case: CR-2026-004 - Theft - Afwan - Reason: Convicted
[Sun May  3 03:15:55 2026] ACTION: ARCHIVE_SUSPECT | DETAILS: Archived Suspect: MR - Reason: Transferred Jurisdiction
[Sun May  3 03:17:09 2026] ACTION: SESSION_logout | DETAILS: admin (Admin) logout
[Sun May  3 03:17:09 2026] ACTION: LOGOUT | DETAILS: Admin logged out: admin
[Sun May  3 03:17:40 2026] ACTION: SESSION_login | DETAILS: muaz (User) login
[Sun May  3 03:17:40 2026] ACTION: LOGIN | DETAILS: User login: muaz
[Sun May  3 03:18:20 2026] ACTION: SESSION_logout | DETAILS: muaz (User) logout
[Sun May  3 03:18:20 2026] ACTION: LOGOUT | DETAILS: User logged out: muaz
[Sun May  3 03:18:27 2026] ACTION: SESSION_login | DETAILS: zuhair (User) login
[Sun May  3 03:18:27 2026] ACTION: LOGIN | DETAILS: User login: zuhair
[Sun May  3 03:22:57 2026] ACTION: SESSION_login | DETAILS: admin (Admin) login
[Sun May  3 03:22:57 2026] ACTION: LOGIN | DETAILS: Admin login: admin
[Sun May  3 03:23:25 2026] ACTION: SESSION_logout | DETAILS: admin (Admin) logout
[Sun May  3 03:23:25 2026] ACTION: LOGOUT | DETAILS: Admin logged out: admin
[Sun May  3 03:23:35 2026] ACTION: SESSION_login | DETAILS: zuhair (User) login
[Sun May  3 03:23:35 2026] ACTION: LOGIN | DETAILS: User login: zuhair
[Sun May  3 03:23:44 2026] ACTION: SESSION_logout | DETAILS: zuhair (User) logout
[Sun May  3 03:23:44 2026] ACTION: LOGOUT | DETAILS: User logged out: zuhair
[Sun May  3 03:23:54 2026] ACTION: SESSION_login | DETAILS: admin (Admin) login
[Sun May  3 03:23:54 2026] ACTION: LOGIN | DETAILS: Admin login: admin
[Sun May  3 03:24:24 2026] ACTION: CLOSE_CASE | DETAILS: Closed Case: CR-2026-005 - Cybercrime - zuhair - Reason: Deceased
